crop,season,state,area,yield_per_hectare,price_per_quintal,cost_per_hectare,profit
Onion,Kharif,Andhra Pradesh,0.57,44.7572,2505.7,52333.27,609414.13
Onion,Kharif,Andhra Pradesh,1.79,40.4105,2321.66,47686.74,1594010.78
Onion,Kharif,Andhra Pradesh,0.73,45.9863,2289.23,50687.15,731493.0
Onion,Kharif,Andhra Pradesh,0.61,49.2145,2524.42,50979.87,726753.79
Onion,Kharif,Andhra Pradesh,2.34,41.787,2093.97,48751.21,1933443.39
Onion,Kharif,Andhra Pradesh,0.56,40.58,2062.77,47703.64,442045.77
Onion,Kharif,Andhra Pradesh,0.62,50.354,2318.9,50377.37,692715.53
Onion,Kharif,Andhra Pradesh,1.38,41.1787,2037.3,47591.11,1092050.18
Onion,Kharif,Andhra Pradesh,0.92,40.8552,2371.93,49094.88,846364.09
Onion,Kharif,Andhra Pradesh,1.03,46.9516,2379.41,51887.36,1097242.72
Onion,Rabi,Andhra Pradesh,0.96,24.7841,2491.65,51632.29,543263.97
Onion,Rabi,Andhra Pradesh,1.94,24.0947,2487.81,47554.19,1070640.36
Onion,Rabi,Andhra Pradesh,1.82,25.7778,2178.7,51261.87,928852.14
Onion,Rabi,Andhra Pradesh,0.76,24.4056,2299.14,51938.52,386975.98
Onion,Rabi,Andhra Pradesh,2.08,22.632,2063.31,51307.55,864576.45
Onion,Rabi,Andhra Pradesh,3.28,22.2822,2054.62,51004.85,1334334.46
Onion,Rabi,Andhra Pradesh,0.83,25.9781,2447.64,47906.74,487994.5
Onion,Rabi,Andhra Pradesh,0.88,24.006,2537.5,49353.21,492622.73
Onion,Rabi,Andhra Pradesh,2.19,26.3993,2045.01,50292.02,1072173.15
Onion,Rabi,Andhra Pradesh,2.41,22.4431,2493.72,49963.13,1228391.26
Onion,Rabi,Andhra Pradesh,0.55,22.117,2255.04,48094.09,247859.65
Onion,Rabi,Andhra Pradesh,1.03,26.2146,2353.5,50416.84,583538.48
Onion,Rabi,Andhra Pradesh,1.51,21.8548,2524.73,52349.39,754130.74
Onion,Rabi,Andhra Pradesh,0.69,24.9175,2485.42,52464.82,391119.59
Onion,Rabi,Andhra Pradesh,0.83,27.5409,2301.5,50115.49,484501.89
Onion,Rabi,Andhra Pradesh,3.33,24.4828,2378.87,50637.79,1770821.3
Onion,Rabi,Andhra Pradesh,3.13,22.0525,2490.89,48904.82,1566247.88
Onion,Rabi,Andhra Pradesh,1.75,24.5372,2102.06,49266.76,816410.99
Onion,Rabi,Andhra Pradesh,3.13,27.5711,2041.86,52431.05,1597971.5
Onion,Rabi,Andhra Pradesh,3.64,23.6214,2291.81,51568.98,1782830.63
Onion,Rabi,Andhra Pradesh,3.58,27.1941,2088.15,51612.69,1848143.19
Onion,Rabi,Andhra Pradesh,2.19,27.6477,2441.48,48252.08,1372603.29
Onion,Rabi,Andhra Pradesh,3.17,27.5445,2207.18,51710.59,1763300.09
Onion,Rabi,Andhra Pradesh,0.75,26.6117,2471.02,52498.59,453811.74
Onion,Rabi,Andhra Pradesh,3.28,22.4572,2194.78,50857.87,1449853.41
Onion,Rabi,Andhra Pradesh,2.84,24.8727,2420.63,51760.91,1562892.73
Onion,Rabi,Andhra Pradesh,2.98,26.9905,2305.36,49517.41,1706677.18
Onion,Rabi,Andhra Pradesh,1.1,26.2686,2015.17,50601.55,526630.76
Onion,Rabi,Andhra Pradesh,3.67,22.5927,2115.61,47572.72,1579566.85
Onion,Rabi,Andhra Pradesh,2.08,24.1128,2321.16,49687.37,1060818.71
Onion,Rabi,Andhra Pradesh,2.28,26.9056,2338.71,52247.6,1315548.38
Onion,Rabi,Andhra Pradesh,1.16,24.7061,2504.75,48791.22,661240.24
Onion,Rabi,Andhra Pradesh,2.57,24.709,2533.9,49143.76,1482782.22
Onion,Rabi,Andhra Pradesh,3.35,22.2332,2130.43,48144.4,1425487.75
Onion,Rabi,Andhra Pradesh,1.08,22.6073,2082.31,50704.37,453652.93
Onion,Rabi,Andhra Pradesh,1.32,27.1101,2187.97,49869.81,717144.39
Onion,Rabi,Andhra Pradesh,3.5,22.9249,2093.44,47704.34,1512752.01
Onion,Rabi,Andhra Pradesh,1.26,22.8341,2151.39,47943.51,558568.15
Onion,Rabi,Andhra Pradesh,1.04,23.0083,2250.74,49321.35,487278.04
Onion,Rabi,Andhra Pradesh,2.77,22.0161,2375.95,51497.05,1306318.97
Onion,Rabi,Andhra Pradesh,3.33,26.9722,2044.06,52104.36,1662414.38
Onion,Rabi,Andhra Pradesh,0.77,26.5719,2150.46,51241.3,400536.7
Onion,Rabi,Andhra Pradesh,1.33,23.9834,2113.63,49922.61,607808.94
Onion,Rabi,Andhra Pradesh,3.28,24.5303,2200.65,51237.35,1602570.78
Onion,Rabi,Andhra Pradesh,0.67,26.0203,2137.13,51976.03,337755.61
Onion,Rabi,Andhra Pradesh,2.8,22.4192,2289.64,49737.06,1298032.32
Onion,Rabi,Andhra Pradesh,2.9,23.382,2131.7,49386.42,1302238.46
Onion,Rabi,Andhra Pradesh,0.59,23.0387,2175.11,49137.49,266667.65
Onion,Rabi,Andhra Pradesh,1.04,25.3089,2485.09,50895.51,601175.39
Onion,Rabi,Andhra Pradesh,4.05,22.2989,2271.28,50185.53,1847956.15
Onion,Rabi,Andhra Pradesh,3.14,24.3469,2405.97,48137.9,1688194.84
Onion,Rabi,Andhra Pradesh,1.78,25.6197,2197.47,50353.89,912484.46
Onion,Rabi,Andhra Pradesh,2.1,25.3813,2537.43,48686.13,1250227.74
Onion,Rabi,Andhra Pradesh,0.96,23.2437,2082.83,48303.41,418390.7
Onion,Rabi,Andhra Pradesh,1.34,22.8125,2154.94,51983.83,589080.23
Onion,Rabi,Andhra Pradesh,0.86,24.2206,2285.5,52411.89,430988.07
Onion,Rabi,Andhra Pradesh,1.0,27.5419,2216.43,51827.54,558618.85
Onion,Rabi,Andhra Pradesh,4.18,22.7977,2140.11,50843.22,1826885.53
Onion,Rabi,Andhra Pradesh,3.96,23.7054,2101.47,49627.18,1776201.38
Onion,Rabi,Andhra Pradesh,2.78,22.4648,2131.66,50553.1,1190729.5
Onion,Rabi,Andhra Pradesh,1.8,22.6996,2316.43,49905.7,856645.32
Onion,Rabi,Andhra Pradesh,2.9,23.7822,2027.73,48172.07,1258797.45
Onion,Rabi,Andhra Pradesh,0.79,23.6976,2539.31,51549.37,434662.17
Onion,Rabi,Andhra Pradesh,1.65,26.2988,2371.11,50478.19,945606.6
Onion,Rabi,Andhra Pradesh,2.62,23.8551,2224.06,52147.65,1253414.52
Onion,Rabi,Andhra Pradesh,4.72,22.1776,2098.3,51205.6,1954775.31
Onion,Rabi,Andhra Pradesh,3.09,22.6129,2458.53,51476.34,1558809.88
Onion,Rabi,Andhra Pradesh,1.41,22.7584,2088.72,51572.87,597538.25
Onion,Rabi,Andhra Pradesh,3.49,23.9143,2284.71,51886.0,1725752.13
Onion,Rabi,Andhra Pradesh,2.27,24.3913,2444.78,49384.72,1241527.02
Onion,Rabi,Andhra Pradesh,2.58,26.2239,2163.82,50013.6,1334952.78
Onion,Rabi,Andhra Pradesh,1.54,24.0631,2490.02,50217.76,845397.88
Onion,Rabi,Andhra Pradesh,3.32,22.6099,2182.1,51470.13,1467113.12
Onion,Rabi,Andhra Pradesh,3.29,27.0929,2290.38,51442.99,1872294.24
Onion,Rabi,Andhra Pradesh,1.18,23.2588,2169.46,51219.73,534976.06
Onion,Rabi,Andhra Pradesh,0.65,26.3121,2310.24,51883.83,361392.83
Onion,Rabi,Andhra Pradesh,2.04,22.4398,2447.32,51732.26,1014777.44
Onion,Rabi,Andhra Pradesh,1.07,26.519,2216.12,48249.59,577205.18
Onion,Rabi,Andhra Pradesh,1.53,26.0601,2393.33,50705.74,876685.27
Onion,Rabi,Andhra Pradesh,3.62,23.2784,2295.43,49228.48,1756101.0
Onion,Rabi,Andhra Pradesh,1.32,25.2483,2494.86,49504.26,766136.3
Onion,Rabi,Andhra Pradesh,2.58,22.6936,2516.04,50431.15,1343013.16
Onion,Rabi,Andhra Pradesh,2.78,21.8901,2332.91,51860.62,1275508.54
Onion,Whole Year,Andhra Pradesh,3.68,16.57,2082.66,50533.58,1083992.11
Onion,Whole Year,Andhra Pradesh,2.41,17.9684,2401.07,52127.84,914127.68
Onion,Whole Year,Andhra Pradesh,2.53,18.1656,2061.22,51694.49,816527.9
Onion,Whole Year,Andhra Pradesh,1.06,17.7167,2501.62,50094.19,416695.78
Onion,Whole Year,Andhra Pradesh,3.16,14.5333,2217.06,49175.99,862792.09
Onion,Whole Year,Andhra Pradesh,4.11,15.6219,2002.0,49490.84,1081994.13
Onion,Whole Year,Andhra Pradesh,2.92,15.672,2501.08,49234.77,1000788.13
Onion,Whole Year,Andhra Pradesh,3.82,15.1966,2246.07,49762.2,1113776.88
Onion,Whole Year,Andhra Pradesh,1.13,16.2657,2095.66,49594.63,329146.07
Onion,Whole Year,Andhra Pradesh,4.62,16.5868,2197.09,50661.32,1449600.74
Onion,Whole Year,Andhra Pradesh,0.56,15.0147,2361.31,52305.35,169253.75
Onion,Whole Year,Andhra Pradesh,1.17,14.6528,2225.57,52484.37,320139.71
Onion,Whole Year,Andhra Pradesh,2.76,14.5814,2324.14,51249.8,793894.83
Onion,Whole Year,Andhra Pradesh,1.44,15.1206,2489.19,48453.44,472214.98
Onion,Whole Year,Andhra Pradesh,0.66,16.5253,2256.9,47828.54,214586.55
Onion,Whole Year,Andhra Pradesh,3.99,16.3674,2246.66,49703.81,1268878.16
Onion,Whole Year,Andhra Pradesh,2.3,14.9257,2304.65,48409.64,679824.98
Onion,Whole Year,Andhra Pradesh,4.38,15.7773,2515.4,48853.72,1524282.15
Onion,Whole Year,Andhra Pradesh,3.4,14.4186,2222.36,48280.76,925318.33
Onion,Whole Year,Andhra Pradesh,3.72,14.4253,2358.79,48609.86,1084946.58
Onion,Whole Year,Andhra Pradesh,1.54,14.3964,2365.87,48020.54,450572.29
Onion,Whole Year,Andhra Pradesh,4.1,16.8686,2096.84,48690.91,1250567.72
Onion,Whole Year,Andhra Pradesh,0.95,17.1401,2132.08,51778.48,297979.28
Onion,Whole Year,Andhra Pradesh,4.24,16.9285,2216.06,48524.92,1384876.56
Onion,Whole Year,Andhra Pradesh,1.82,14.3702,2488.26,47927.54,563545.68
Onion,Whole Year,Andhra Pradesh,1.44,15.028,2013.94,50415.21,363225.99
Onion,Whole Year,Andhra Pradesh,2.4,17.5118,2486.26,49209.09,926831.59
Onion,Whole Year,Andhra Pradesh,1.67,16.6247,2206.52,48840.32,531040.75
Onion,Whole Year,Andhra Pradesh,3.31,16.4754,2222.73,49680.63,1047688.91
Onion,Whole Year,Andhra Pradesh,1.83,17.3016,2516.68,48200.57,708619.49
Onion,Whole Year,Andhra Pradesh,4.41,17.8129,2265.28,51499.28,1552377.95
Onion,Whole Year,Andhra Pradesh,2.41,15.3687,2011.73,50208.17,624113.94
Onion,Whole Year,Andhra Pradesh,3.35,14.8637,2140.1,51674.65,892518.35
Onion,Whole Year,Andhra Pradesh,4.93,14.9899,2286.14,48861.54,1448575.06
Onion,Whole Year,Andhra Pradesh,0.58,14.7793,2498.05,50382.58,184910.98
Onion,Whole Year,Andhra Pradesh,1.73,16.8634,2301.67,51648.71,582132.45
Onion,Whole Year,Andhra Pradesh,1.43,14.854,2005.47,52000.09,351627.08
Onion,Whole Year,Andhra Pradesh,4.43,16.6646,2325.25,50825.18,1491446.51
Onion,Whole Year,Andhra Pradesh,1.29,15.9549,2498.11,49415.69,450410.17
Onion,Whole Year,Andhra Pradesh,2.84,14.9688,2025.09,51190.17,715513.96
Onion,Whole Year,Andhra Pradesh,0.87,15.2776,2328.38,49446.48,266458.69
Onion,Whole Year,Andhra Pradesh,1.8,17.1275,2193.43,48985.61,588050.01
Onion,Whole Year,Andhra Pradesh,3.05,16.9113,2259.07,52184.15,1006053.59
Onion,Whole Year,Andhra Pradesh,3.8,14.4412,2116.68,48811.32,976082.46
Onion,Whole Year,Andhra Pradesh,3.18,16.2579,2027.52,50484.21,887689.79
Onion,Whole Year,Andhra Pradesh,2.0,14.7357,2419.86,47875.69,617417.93
Onion,Whole Year,Andhra Pradesh,3.78,17.0079,2269.67,49674.14,1271397.66
Onion,Whole Year,Andhra Pradesh,1.61,17.4414,2446.14,50973.48,604825.22
Onion,Whole Year,Andhra Pradesh,1.72,15.7292,2321.33,47957.91,545529.67
Onion,Whole Year,Andhra Pradesh,4.63,18.0304,2074.08,49730.03,1501211.48
Onion,Whole Year,Andhra Pradesh,1.33,17.7286,2294.98,51161.12,473088.68
Onion,Whole Year,Andhra Pradesh,4.13,17.023,2358.72,51745.98,1444584.25
Onion,Whole Year,Andhra Pradesh,1.62,15.1833,2266.36,52438.34,472507.45
Onion,Whole Year,Andhra Pradesh,4.75,17.0749,2020.97,52126.24,1391530.43
Onion,Whole Year,Andhra Pradesh,1.31,17.8947,2309.18,47669.73,478872.49
Onion,Whole Year,Andhra Pradesh,3.64,17.9295,2161.62,52355.29,1220174.11
Onion,Whole Year,Andhra Pradesh,4.75,17.686,2258.07,51722.75,1651285.18
Onion,Whole Year,Andhra Pradesh,1.94,14.464,2451.49,50481.35,589957.33
Onion,Whole Year,Andhra Pradesh,1.54,14.62,2065.22,50981.44,386468.09
Onion,Whole Year,Andhra Pradesh,2.03,14.5747,2394.7,49076.45,608884.7
Onion,Whole Year,Andhra Pradesh,2.93,15.5643,2430.66,50629.46,960119.47
Onion,Whole Year,Andhra Pradesh,4.49,15.2292,2335.31,47622.0,1383045.05
Onion,Whole Year,Andhra Pradesh,4.42,17.7354,2011.07,50144.69,1354852.03
Onion,Whole Year,Andhra Pradesh,4.73,18.2167,2435.06,49253.56,1865197.93
Onion,Whole Year,Andhra Pradesh,3.95,16.1935,2218.65,50637.53,1219128.15
Onion,Whole Year,Andhra Pradesh,4.43,17.3198,2536.11,49588.83,1726191.16
Onion,Whole Year,Andhra Pradesh,2.4,15.2519,2401.69,48052.37,763803.62
Onion,Whole Year,Andhra Pradesh,2.1,15.4766,2156.11,48668.04,598552.06
Onion,Whole Year,Andhra Pradesh,0.69,18.1768,2009.22,49638.87,217745.61
Onion,Whole Year,Andhra Pradesh,2.23,15.1718,2370.09,52249.81,685359.2
Onion,Whole Year,Andhra Pradesh,4.04,15.9502,2048.23,51895.59,1110199.9
Onion,Whole Year,Andhra Pradesh,4.75,16.715,2254.35,48335.17,1560280.86
Onion,Whole Year,Andhra Pradesh,4.96,18.0011,2125.81,50748.23,1646325.98
Onion,Whole Year,Andhra Pradesh,3.23,15.2203,2279.05,48382.64,964139.21
Onion,Whole Year,Andhra Pradesh,1.49,17.364,2101.14,49250.63,470230.22
Onion,Whole Year,Andhra Pradesh,0.76,17.7709,2527.94,52138.76,301794.78
Onion,Whole Year,Andhra Pradesh,4.98,15.8669,2094.3,51291.19,1399426.74
Onion,Whole Year,Andhra Pradesh,3.63,17.5055,2083.4,48622.2,1147396.23
Onion,Whole Year,Andhra Pradesh,1.51,16.6351,2292.29,50400.43,499694.91
Onion,Whole Year,Andhra Pradesh,0.91,15.3567,2477.96,48147.57,302471.07
Onion,Whole Year,Andhra Pradesh,4.5,17.6863,2520.6,51547.58,1774143.41
Onion,Whole Year,Andhra Pradesh,3.45,14.6592,2299.86,49542.27,992214.11
Onion,Whole Year,Andhra Pradesh,2.18,17.1446,2141.12,49979.38,691294.92
Onion,Whole Year,Andhra Pradesh,0.86,16.9878,2119.54,47880.65,268477.06
Onion,Whole Year,Andhra Pradesh,4.33,16.1963,2269.48,50462.04,1373086.06
Onion,Whole Year,Andhra Pradesh,4.21,16.9673,2189.14,50328.66,1351869.82
Onion,Whole Year,Andhra Pradesh,1.7,17.4336,2478.6,50792.26,648240.81
Onion,Whole Year,Andhra Pradesh,4.33,17.0858,2472.42,51685.07,1605339.37
Onion,Whole Year,Andhra Pradesh,3.64,16.7353,2370.36,51263.58,1257343.57
Onion,Whole Year,Andhra Pradesh,1.21,17.7243,2479.82,47646.24,474179.77
Onion,Whole Year,Andhra Pradesh,4.22,15.6282,2069.75,51217.54,1148880.99
Onion,Whole Year,Andhra Pradesh,1.22,17.5692,2445.52,50037.34,463137.33
Onion,Whole Year,Andhra Pradesh,0.53,16.7287,2156.0,52405.93,163380.72
Onion,Whole Year,Andhra Pradesh,3.34,16.7954,2141.15,50199.93,1033446.72
Onion,Whole Year,Andhra Pradesh,4.01,17.2915,2057.81,50206.33,1225536.66
Onion,Whole Year,Andhra Pradesh,4.83,16.79,2185.9,52160.14,1520741.38
Onion,Whole Year,Andhra Pradesh,0.96,17.0059,2510.56,47839.19,363938.07
Onion,Whole Year,Andhra Pradesh,1.85,14.5825,2385.65,50410.85,550330.04
Onion,Whole Year,Andhra Pradesh,2.06,14.4981,2338.07,51857.68,591461.4
Onion,Whole Year,Andhra Pradesh,4.88,17.2471,2527.81,48150.43,1892578.12
Onion,Whole Year,Assam,3.91,3.1877,2061.39,49118.05,64881.41
Onion,Whole Year,Assam,2.7,3.7591,2477.9,49729.51,117226.37
Onion,Whole Year,Assam,1.73,3.5369,2604.51,49756.94,73286.65
Onion,Whole Year,Assam,1.24,3.7681,2491.53,48603.85,56145.65
Onion,Whole Year,Assam,0.87,3.7342,2427.69,48866.3,36356.51
Onion,Whole Year,Assam,4.78,3.5422,2132.02,52218.08,111388.13
Onion,Whole Year,Assam,2.39,3.5122,2404.25,48871.08,85014.95
Onion,Whole Year,Assam,4.93,3.9413,2276.26,48649.77,202443.67
Onion,Whole Year,Assam,1.46,3.7318,2065.05,49342.63,40471.49
Onion,Whole Year,Assam,4.39,4.0053,2311.93,48427.63,193915.13
Onion,Whole Year,Assam,4.41,3.8348,2481.36,51723.92,191533.75
Onion,Whole Year,Assam,3.92,3.282,2397.38,47662.63,121598.9
Onion,Whole Year,Assam,4.64,3.857,2392.03,49907.61,196513.87
Onion,Whole Year,Assam,1.03,3.7611,2117.57,49651.53,30891.43
Onion,Whole Year,Assam,1.4,3.2241,2322.2,50409.86,34244.19
Onion,Whole Year,Assam,1.71,3.4368,2493.06,49776.1,61399.27
Onion,Whole Year,Assam,0.55,3.5078,2088.12,49899.69,12841.04
Onion,Whole Year,Assam,3.2,3.7692,2210.54,51800.61,100861.18
Onion,Whole Year,Assam,4.01,3.5839,2069.79,48024.65,104875.78
Onion,Whole Year,Assam,1.59,3.2918,2598.67,49994.44,56520.35
Onion,Whole Year,Assam,3.28,3.6522,2439.96,47548.85,136331.23
Onion,Whole Year,Assam,1.97,3.2445,2336.78,49253.13,52332.73
Onion,Whole Year,Assam,0.65,3.5116,2091.55,48163.58,16434.37
Onion,Whole Year,Assam,3.05,3.8605,2432.7,48500.75,138508.11
Onion,Whole Year,Assam,1.25,3.7186,2106.06,51032.38,34104.4
Onion,Whole Year,Assam,0.64,3.2135,2570.49,50206.48,20734.13
Onion,Whole Year,Assam,3.69,3.7857,2534.06,51508.64,163922.39
Onion,Whole Year,Assam,2.03,3.2378,2502.71,51974.08,58991.24
Onion,Whole Year,Assam,2.96,3.5595,2504.09,50717.89,113708.19
Onion,Whole Year,Assam,2.87,3.2392,2456.22,47801.76,91148.76
Onion,Whole Year,Assam,1.61,3.922,2136.76,48596.07,56683.85
Onion,Whole Year,Assam,4.89,3.326,2235.8,51448.49,112050.76
Onion,Whole Year,Assam,3.46,3.6485,2325.88,51096.01,116826.28
Onion,Whole Year,Assam,1.53,4.011,2604.07,50751.63,82157.37
Onion,Whole Year,Assam,1.4,3.231,2427.54,47653.26,43092.99
Onion,Whole Year,Assam,1.66,3.9189,2306.02,51135.85,65131.39
Onion,Whole Year,Assam,3.84,3.4676,2285.28,49355.19,114771.29
Onion,Whole Year,Assam,4.94,3.9179,2070.06,50393.38,151703.03
Onion,Whole Year,Assam,2.47,3.5892,2452.69,51867.12,89325.55
Onion,Whole Year,Assam,4.55,3.4078,2283.17,50461.75,124420.8
Onion,Whole Year,Assam,4.61,3.707,2165.31,50657.8,136499.3
Onion,Whole Year,Assam,3.8,3.7872,2121.14,52045.16,107489.66
Onion,Whole Year,Assam,1.31,4.0081,2180.32,48404.88,51068.72
Onion,Whole Year,Assam,4.34,3.3823,2322.58,51853.75,115886.6
Onion,Whole Year,Assam,2.5,3.4791,2335.16,50464.75,76942.22
Onion,Whole Year,Assam,1.24,4.0064,2266.06,48790.67,52074.81
Onion,Whole Year,Assam,3.46,3.837,2229.27,48154.37,129345.85
Onion,Whole Year,Assam,4.86,3.3726,2301.08,47867.48,144531.23
Onion,Whole Year,Assam,1.26,3.4598,2337.93,51644.42,36847.94
Onion,Whole Year,Assam,2.44,3.7019,2186.56,51033.89,72982.95
Onion,Whole Year,Assam,1.25,3.2003,2141.27,51182.01,21681.52
Onion,Whole Year,Assam,3.49,3.8981,2312.72,51528.35,134799.06
Onion,Whole Year,Assam,3.13,3.3465,2532.55,48059.6,114846.59
Onion,Whole Year,Assam,1.71,3.6276,2079.54,52183.03,39766.45
Onion,Whole Year,Assam,0.68,3.5594,2115.86,52169.38,15736.72
Onion,Whole Year,Assam,1.92,3.2045,2330.93,48241.72,50791.53
Onion,Whole Year,Assam,4.94,3.1729,2586.64,52259.06,147271.1
Onion,Whole Year,Assam,3.38,3.5616,2532.36,50077.98,135585.57
Onion,Whole Year,Assam,2.7,3.2893,2420.08,47649.87,86274.84
Onion,Whole Year,Assam,1.89,3.3431,2441.19,50867.16,58104.7
Onion,Whole Year,Assam,4.86,3.7499,2100.1,49718.75,141095.96
Onion,Whole Year,Assam,4.41,3.7672,2146.59,51690.58,128661.96
Onion,Whole Year,Assam,4.75,3.5983,2429.23,50589.24,174897.75
Onion,Whole Year,Assam,4.41,3.1949,2366.32,52154.74,103398.22
Onion,Whole Year,Assam,3.6,3.355,2425.46,50794.43,110087.28
Onion,Whole Year,Assam,2.27,3.2607,2411.35,50789.23,63192.9
Onion,Whole Year,Assam,5.0,4.0131,2074.59,49534.54,168599.34
Onion,Whole Year,Assam,4.42,3.6586,2484.59,51192.25,175514.95
Onion,Whole Year,Assam,4.45,3.4512,2273.36,50837.97,122912.34
Onion,Whole Year,Assam,4.14,3.8581,2473.36,49677.92,189388.35
Onion,Whole Year,Assam,4.18,3.6391,2114.79,47528.79,123024.35
Onion,Whole Year,Assam,1.96,3.511,2252.31,50977.34,55077.76
Onion,Whole Year,Assam,2.25,3.3739,2298.24,49366.26,63391.16
Onion,Whole Year,Assam,1.52,3.6901,2088.54,50841.06,39866.68
Onion,Whole Year,Assam,3.29,3.4968,2306.5,51816.67,94875.28
Onion,Whole Year,Assam,2.84,3.1908,2315.26,49206.24,70058.9
Onion,Whole Year,Assam,2.21,3.67,2270.39,50168.01,73272.1
Onion,Whole Year,Assam,3.24,3.8712,2474.82,51090.62,144872.51
Onion,Whole Year,Assam,4.8,3.3378,2057.85,47537.81,101515.04
Onion,Whole Year,Assam,3.41,3.379,2549.17,52135.17,115946.78
Onion,Whole Year,Assam,0.77,3.4725,2569.5,48007.1,31738.07
Onion,Whole Year,Assam,2.69,3.4148,2191.06,49036.45,69358.34
Onion,Whole Year,Assam,4.11,3.4376,2348.76,50551.67,124081.69
Onion,Whole Year,Assam,3.72,3.526,2199.91,48109.43,109588.43
Onion,Whole Year,Assam,1.32,3.3254,2428.04,50125.82,40413.53
Onion,Whole Year,Assam,3.69,3.6589,2107.35,48782.81,104509.39
Onion,Whole Year,Assam,4.83,3.8651,2317.7,50251.13,189968.73
Onion,Whole Year,Assam,0.7,3.9908,2401.25,50508.06,31724.49
Onion,Whole Year,Assam,4.19,3.3657,2541.45,48560.22,154936.96
Onion,Whole Year,Assam,3.25,3.8944,2277.2,52000.12,119220.52
Onion,Whole Year,Assam,2.09,3.8431,2179.94,48874.03,72949.1
Onion,Whole Year,Assam,4.2,3.7455,2284.3,47977.68,157838.65
Onion,Whole Year,Assam,3.31,3.6755,2299.95,48340.07,119808.01
Onion,Whole Year,Assam,3.82,3.3559,2529.5,47978.57,140992.97
Onion,Whole Year,Assam,0.61,3.6932,2406.17,50233.49,23565.82
Onion,Whole Year,Assam,1.54,3.6823,2265.97,49983.83,51523.5
Onion,Whole Year,Assam,4.95,3.7693,2123.86,49521.59,151142.33
Onion,Whole Year,Assam,2.43,3.767,2448.41,52456.28,96653.71
Onion,Whole Year,Assam,1.08,3.7946,2105.8,50391.93,31875.32
Onion,Whole Year,Assam,1.73,3.2426,2092.02,51970.95,27447.4
Onion,Rabi,Bihar,1.36,11.4153,3662.09,49274.98,501520.69
Onion,Rabi,Bihar,0.81,10.949,3841.69,51501.78,298992.23
Onion,Rabi,Bihar,1.55,13.3312,3860.92,50754.39,719127.41
Onion,Rabi,Bihar,2.9,11.7272,3662.97,50847.43,1098273.58
Onion,Rabi,Bihar,2.59,12.3995,3420.5,52288.13,963051.8
Onion,Rabi,Bihar,1.29,11.3399,3998.59,50179.14,520202.64
Onion,Rabi,Bihar,0.94,12.9679,3778.65,49237.86,414326.54
Onion,Rabi,Bihar,3.49,13.4693,4095.37,48673.21,1755274.31
Onion,Rabi,Bihar,2.3,13.6608,3505.18,52135.0,981411.07
Onion,Rabi,Bihar,2.93,12.2782,4138.12,50617.93,1340389.67
Onion,Rabi,Bihar,0.9,11.1252,4058.49,51630.34,359897.84
Onion,Rabi,Bihar,4.02,10.8568,4015.79,49015.64,1555622.13
Onion,Rabi,Bihar,1.68,11.0078,3695.83,52184.79,595800.85
Onion,Rabi,Bihar,2.99,11.9147,3645.71,49736.01,1150076.39
Onion,Rabi,Bihar,3.2,13.4465,3838.59,49984.82,1491744.5
